Rating,Comment
5.0 out of 5 stars,"My instant pot never gets put away. It cooks to perfection everything we cook. Perfect, pasta, boiled eggs, rice, chicken, broccoli. Everything. The secret is the fact that you can time everything to the perfect time setting.No need to get the latest most expensive unit. They all do the excact same thing. The more expensive options are things like a button that says egg. The egg button will cost you $20.00. It sets a timer for five minutes."
5.0 out of 5 stars,"Just received this air fryer lid today for my existing 6 quart instant pot.  It worked amazingly well with the two batches of chicken wings and fries that I cooked.  The chicken wings turned out crispy and juicy, and the fries turned out even better than the deep fried version!  I also tried making crispy brussel sprouts which turned out deliciously well.The fryer circulates air effectively and definitely gets hot enough to make food crispy.  Lifting the lid to check on the food is easy, especially with the included plastic pad that you can rest the lid on while it's hot.  Keep in mind that this air fryer only works with certain instant pot models, so make sure to check that yours is compatible.No problems so far with this air fryer lid - my instant pot is now my go-to and most used kitchen appliance!  Very happy with this purchase and can't wait to use it more."
1.0 out of 5 stars,"Junk.  Worked once, then started up with error messages.  Absolutely NO product support.  They are so far behind that all the voice mail message boxes are full and you cannot even leave a message asking for any support.  What a mistake."
4.0 out of 5 stars,"I’m used to cook once a week for 5 days, you call it meal prep. It means Sunday is a busy day and sometimes, we’ll most of the times, you have no time or you are too busy with raising your kids so you end up making food at night.When I first saw it, I ignored it as another gimmick I usually ignore. ADs don’t work on me and this also didn’t. After couple of days I saw a news company report about the most selling product on Amazon, it was this POT.So I did my research and bought it, DUO nova. Very confusing names and you basically have no idea what’s the difference between them. 10in 1 or 7 in 1... they are doing the same thing and you NEVER going to use these options, most of your food will be cooked on manual cooking.This pot is very good and easy to work with. I hate washing it but food is done faster and better. Basically if you follow Youtubers recipes, it’s foolproof. I like it so far, time will tell... I’ll make sure to update this review in a few months."
5.0 out of 5 stars,"I looked at this item for a long time before I finally decided to buy it. What I don't need is another device in my house, but I use my crockpot almost every weekend and loved the idea that I could cook stuff so much quicker with the instant pot.I unpacked it and read over the instructions for testing it out to make sure everything worked. After the test, I decided to try my first dish. I had a frozen salmon fillet and this was one of the selling points, that you can cook frozen food and it will be just fine.  My problem is that I always forget to take food out of the freezer to thaw.I grabbed a frozen filet and per the directions that I found online I added water and lemon juice to the pot and sprayed the steamer rack with non stick spray. I put the filet on the rack and cooked it for 4 minutes. I didn't use any seasonings. The salmon was perfect and so yummy! I couldn't believe it.Over the weekend I made chili and mac and cheese. The chili only took 14 minutes after browning the meat and the mac and cheese took 4 minutes.I love this so much. I can't wait to cook more items using the different functions."
1.0 out of 5 stars,This product is a piece of crap.  It stopped working right after the 30 day no-return time frame passed which I didn't even know existed.  I found an Instant Pot website and wrote in for help but got no response.  I didn't even know there was a 30 day policy to return it because it stopped working just before the busy holiday season.  I can't believe it.  I just paid $119 to add to the landfill.  So disappointed Amazon does not stand behind this product.  DON'T BUY THIS PRODUCT.
5.0 out of 5 stars,"I've been using the 6 qt IP, but always had way too much food left over.  I bought the 3 qt mini for use in our camping trailer.  However, I ended up dragging it home and using it there.  It's a perfect size for just the wife and myself.  Things have gotten to the point that my wife says, ""I don't want to cook.  Pull out the little pot (IP mini) and make dinner (spaghetti, soup, whatever).""  My fault for becoming proficient with the use of the Instant Pots.  When we have company to dinner, I use the 6 qt. IP.  I love it!  Just had to order a stainless 3 qt. liner pot for it (with a silicon lid) in case I need to put something in it in the refrigerator ... or use it to cook something separately."
5.0 out of 5 stars,"For a long time, I wasn't a believer.  I mean, I'm all for electronic gadgets in the kitchen.  If I want to cook something for hours until its delicious and tender, I've got a traditional slow cooker.  If I want to feel fancy when I'm preparing perfectly-cooked meats, I've got my Anova sous vide, and a wireless meat thermometer for the grill.  But friends and family were always like, ""Oh but you gotta get an Instant Pot!""  But no, I didn't _have_ to get an Instant Pot.Eventually, though, there was a sale, and I bought one.  Now, I didn't really have any meaningful concept of the differences between the sizes and models.  This 8 quart Duo Plus came up as a daily deal thing, and I bought it.  It was a good price.  And you know, it can make like 2 gallons of yogurt or porridge or something, so...great...whatever.I'll be the first to admit that I didn't count on the sheer size of the thing.  At the time, it was just my wife and I and our two-year-old daughter.  When I unboxed this 8-quart monstrosity, I experienced a moment of trepidation, a fear of ridicule from my wife, who would point out that we don't need a really really ridiculously huge pressure cooker for just us.  But I moved on from that anxiety, and I set about putting this thing to work.The first time each of us used it, we felt what I'm sure every other pressure cooker rookie feels at first—the crippling fear that you're about to die in a horrific high-pressure home explosion, and that your family will always be embarrassed to explain that they were related to one of _those_ statistics.  But, as I'm sure most pressure cooker owners do, we survived.And it didn't take long before we realized (my wife especially, since she does a lot of the cooking) how fantastic this giant culinary autoclave really is.  Cook an entire dinner of roast chicken with red beans & rice in one go?  Done.  Steam a whole mess 'o veggies when some friends show up with their gaggle of kids for dinner?  Easy.  Meatballs.  Tamales.  Artichokes.  Corn on the cob.  All quickly and (perhaps most significantly) very simple.  And there's just a single pot to scrub at the end!  Then just throw it back in the pantry until next time.Last night I think I reached my true peak of giant Instant Pot appreciation.  I cooked two racks of BBQ pork back ribs.  I thought about just taking the meat to my dad's house and letting him do them in the smoker.  But that would have taken like 10 hours!  I could have tried the sous vide, but that would required me to cut up the ribs into ziploc-sized portions, to come up with a way to cook that much meat together in a bigger cooler than I usually use, and to then clean up the mess and cook for at least a few hours to get a good texture.  And who has that kind of time when there's football to be watched and naps to be taken?  Want to know how long I spent preparing this meal in the Instant Pot?  We wanted to eat at 6pm.  I boldly began my process at 5:00.- Five minutes unwrapping and rubbing the meat and stuffing it all into my countertop sauna.  I'll leave the visualization to you.- Twenty minutes as the Instant Pot got up to cooking pressure.- 25 minutes cooking + 2 minutes decompressing (and filling the house with delicious porky aroma)- Five minutes painting on some sauce and letting everything sizzle on the grill.Seriously.  Delicious, perfectly cooked barbecue ribs—enough to feed at least eight people—ready in about an hour.So yeah.  I'm a fan.  And even though it's comically large when we're just cooking for ourselves, I'm glad I got the 8 qt monster after all.  I haven't even explored all of the fancy other options and space-age things it can do.  But I will.  If only because I can.  Thanks, Instant Pot!  <insert smile with tooth sparkle and ""ding"" sound>"
1.0 out of 5 stars,"Bought June 23, worked great until today, turn it on, no problem, shut the lid, made its cool noise, shut down, won’t turn back on"
5.0 out of 5 stars,"I just got this in the mail today and decided to give it a go. I air fried some frozen french fries at 400° for 20 minutes. Halfway through the cooking cycle it beeped to remind me to toss my food. The fries came out perfectly cooked.The box comes with the lid, basket, basket case, dehydrator pan, instruction and warranty manuals, and a base for the lid. Well worth the expense so far.I'm going to try roasting and dehydrating soon!"
5.0 out of 5 stars,"Instant Pot IP-DUO Plus60 9-in-1 Multi-Functional Pressure Cooker, 6 Qt  - I've wanted a PC for a long time and have done a lot of research. I was originally leaning towards the PPCXL because that's what my cousin has, but I did some more research and ended with this one, waiting until the Duo Plus came out.  So, since I'm the 4th reviewer, here's some of the thought process I went through in deciding to get the DUO Plus and also some thoughts on the IP vs the PPCXL and also other considerations on accessories, size, etc. So far, I've only had it a few days, but overall satisfied and plenty of online support for recipes and helping you decide the post PC for your needs.**Why I went with the Instant Pot (IP) duo60 Plus -Three new preset buttons - cake, egg, sterilize. It also had the yogurt function which other IP do, but not some of the other makes.Large LCD Screen with  Digital DisplayMute button for those beeps in the night when cooking yogurt etc.Plus / Minus button for both time and pressureKeep Warm Selector can be selected to on or off at anytime.Delay start of 24 hours and keep warm for 10 hours.Lid rest (right or left side)**Why I went with IP vs PPCXL -Food Grade 304 (15/8) stainless steel pot vs stainless steel with teflon coating. I felt I could scrub and treat the pot however I wanted and not worry about scratching and what utensils to not use. Yes, you can buy a replacement inner pot for a Teflon pot, but after I spend $100+ I really don't think I should have to buy a replacement inner pot.  Some of the FB group users are fine with the Teflon pot, but there are also a lot of complaints, so it might be in the handling, but every Teflon pan I ever had eventually got tossed out because of the coating coming off.IP came with some of the accessories you pay for on the PPCXL. It had the trivet with handles, condensation collector, Rice Paddle & spoon and a couple intro guides/cookbooks.Free shipping for IP.  PPCXL site wanted $29.99Buttons weren't quite clear on PPCXL site so it made me think they were hiding lack of selection on preset buttons.  Also, confusing on what you were buying - regular PPC or PPCXL. A lot of their verbiage refers to PPCXL, but not necessarily when you go select your items for your shopping cart.Yogurt Button - The IP has this and the PPCXL doesn't.  The IP allows you to bring the milk to 185 in the IP, cool to 120 (I will be using the quick cool method in the sink) and then put in yogurt mode for incubation (8-12 hours). The PPCXL doesn't have this and you wrap it and put it in the oven.Warranty on IP is 1 year and I went with the Square Trade Warranty for 4 years for an additional $14.37. No deductible, no hidden fees, no shipping, transferable. PPC has 60 day money back/replacement. After that up to one year you have to pay $24.99 for shipping. Their extended warranty if $15 for 3 years.Slow Cooker Mode had a low, medium and high heat button.IP has a + and - sign to increase or decrease the time. Others you have to select a preset and keep pressing to increase, you can't decrease time.Overall ratings - IP 4.7 and PPCXL 4.1.  I read through a lot of comments by verified buyers and the PPC owners seemed a lot more upset with customer service.  I looked through a lot of Reviewers who do this for a living or at least blog and they leaned towards the IP.I messaged with the PPCXL people online and you can tell they've been coached for answers knowing what their down faults are and not really answering the question or referencing what you know is a negative.There are more IPs on the market and most recipes are geared towards it from a ""preset button"" perspective.IP has a left and right handle that will hold your lid tilted.I belong to a Pressure Cooker group - there are a lot of complaints about other manufacturer's instructions, quick start guide, etc. Lots of issues with lids locking, not pressurizing etc and I really don't see this for the Instant Pot family of PCs.**Sizing -I measured my crock pot which was 6 quart, so that's what I ordered.  It's an OK size for 2 people, but since you can only fill it 2/3 full when cooking under pressure you should take that into consideration. I figure on a roast, I will do the meat first, then veggies. The 6 quart will hold four pint canning jars for sterilization.**Accessories -What else to buy?  I got the OXO Good Grips steamer with extendable handle and a pack of 3-IP Rings color coded (dark for savory meats, orange for desserts and I will use the clear for yogurt).  I had read they were dishwasher safe, but not 100% as they might keep flavors.On my next order I'm looking at 2 cookbooks (IP Electric Pressure Cooker Cookbook for $9 and IP Obsession for $12). There are plenty of Facebook Group pages you can join for recipes too and online reviewers. Just type in what you are making followed by ""in a pressure cooker"" or ""in an IP"". I'm also buying IP Silicone Mitts for easy removal of a hot pot since I will be making yogurt ($10).The only negative of the Instant Pot is you can't get a 10 quart and if I had a REALLY big family that would be the only reason, but basedon the above, I would probably just buy a 2nd Instant Pot.I hope this is helpful.  I did a lot of research and felt the need to share it. I will update this as I use it and get additional questions.8/9/2017 update - I've been using my IP for a few months now.  I use my steamer basket and trivet a lot. I make a ""bowl"" out of heavy duty foil and put on the trivet when making a whole chicken and it makes trivet clean-up easier.  I bought an IP plain glass lid for slow cooker & yogurt mode.  I don't use my extra rings cause I use my plain lid for yogurt, so no use to swap rings.  I didn't get the silicone mitts. I realized I didn't need them. My inner pot doesn't get that hot on yogurt mode. I like the 2 cookbooks.  I use Bar Keeper Friend to clean the pot.  Still really happy with my IP-DUO Plus 60. I'm part of a FB PC group and I don't see complaints on the IP. Very happy with my purchase.12/29/2017 update - So on Black Friday I bought the 3 qt Instant Pot because I felt like I need to have twins.  It's a great size and great forsides and especially my 2 quart of yogurt I make at least weekly, so it doesn't tie up my 6 qt IP. We winter in FL and I was able to ""sneak"" the6 qt into the truck and now I have the 3 qt here too. I made an entire Thanksgiving dinner for Christmas (Irma got in our way last month repairing) in the 2 pots. In future years, I'll prob just bring the 3 qt cause it fits better in my cabinets in the mobile home."
1.0 out of 5 stars,worked well - until it died 6 months in....
1.0 out of 5 stars,"I bought this due to all the highly positive reviews. Got this last night, and attempted to cook rice using their instructions. What an unmitigated disaster. Over all impressions:- The personification of ""Made in China"" cheap quality. The plastic had treads, the metal lining wore off the minute I tried to align the lid, the instructions are in poorly written English that leaves one confused as to whats what.- The rice, even though I followed the instructions to the ""T"", ended up being burnt.Going back today!"
3.0 out of 5 stars,"When the IP works, it's great. Really great. I get good food made cheap, and it's helped me explore vegetarianism and veganism, which i was interested in.That's about 50% of the time. The other 50% it screws up by not pressurising, and you inevitably find yourself wandering down an internet rabbit-hole trying to find the solution. Is it the sealing ring? Is it too full? Does it have too much or too little liquid? Should I deglaze it? Did I deglaze it (and 'deglaze' is the stupidest word in the world for 'scraping food off the bottom of the pot')? Is it something else?Yesterday I:steamed six hardboiled eggs. Easy. IP pressurised just fine.Today I:Prepared lentil curry, following instructions as closely as possible.Put IP on to pressure cook.IP doesn't pressurise. I open it and add more water.Still doesn't pressurise. I open it and deglaze the pot.Still doesn't pressurise. I check the sealing ring and it's in place.Still doesn't pressurise. Very carefully wipe and clean the inner rim.Still doesn't pressurise. Empty the contents into a bowl, scrape more hardened food off bottom of pot, wash and dry it, put it back in, fill it with only half the curry I originally put in, in case it was too full (even though it wasn't).Still doesn't pressurise.Check the condensation cup, empty that, put it back on. Why the hell not? I've tried everything else. Check the inside of the pressure valve, which is fine.Put lid back on. Still doesn't pressurise. Except this time I can hear a faint hissing where there wasn't one before and shouldn't be.Next step: bang head on wall. Employ expletives learned from the sailing community. And, frankly, consider just throwing the thing in the trash.When a machine is so sensitive to failure that it just throws a hissy-fit at random times, there's no way you can rely on it."
1.0 out of 5 stars,"I purchased this Instant Pot with high hopes, I have many friends who love theirs!  I tried 5 different recipes, I didn't care for the result of the first 4.  On the 5th attempt to make something in it the whole unit shorted out in the middle of cooking time and will not turn back on.  I will be returning it today.  It made chili flavorless and watery, it made chicken and pork chops have a strange texture, and when I tried beef stew it was more like beef soup. I admit I am a pretty picky eater and love to cook, so I was hoping for an appliance that would make cooking easier and faster for my family of 6, but I was completely disappointed. I would not recommend it to anyone."
1.0 out of 5 stars,Arrived broken. The plastic tracks that hold the condensation cup had been broken off. The first person that received the item must have tried to pull the cup off instead of sliding it off. This must have been a returned item sold as new. I've requested a replacement and now will have to go through the process of repacking the whole thing.
4.0 out of 5 stars,"Was excited to try this when it arrived yesterday. While putting on the  plastic steam collector (it slips onto 2 very fragile and tiny black brackets) one of the brackets fell off. I immediately called Instapot and they told me to put a towel Near the back if I wanted to use it and return it to Amazon. I decided to try and cook Brussel sprouts and 2 large baked potatoes. Since I had to send it back I wanted to make sure I was happy with the way it cooked. I was delighted. In less than 13 minutes I had cooked perfect baked potatoes and Brussel sprouts, even though there seems to be a learning curve. I can see this is going to change my cooking habits and I can probabally store some of my cooking pots. Needless to say, I requested a replacement and not a refund. I am only giving this 4 stars due to what appears to be a defect in those fragile brackets.  The tech support guy certainly understood what I was talking about. Attidional note: there are just 2 of us so I ordered the 3 quart. I should have ordered the 6 quart because If I time things right this will take the place of 2-3 pots on the stove."
1.0 out of 5 stars,"I put the inner pot in the dishwasher before first use.  It came out covered by rusty stains.  The inner pot is supposed to be made of STAINLESS steel and dishwasher safe.  Neither appeared to be true.  I had other dishes in the dishwasher and they all came out clean so it wasn't something in the water.  I'll post a photo here for others to see.  Because of that I never used the cooker, so I can't comment on its function.  I returned it immediately."
1.0 out of 5 stars,Worked great for about 2 weeks.  After that it would no longer pressurize.
5.0 out of 5 stars,"I have used this a few times on homemade fries, sweet potato home fries, and what has blown me away homemade tostones. I will try this week on preasure cooking a whole chicken then browning with the air fryer attachement and I really look forward to making homemade wings. This has been a game changer for me. I have never tried another air frier so I have nothing to compare it to but this is all I will need."
1.0 out of 5 stars,"I expected this to last more than a year but less than 3 months I noticed the inner shell paint coating melted and stuck onto the inner stainless steel pot. I opened a claim with Instant Pot customer service, and this is how they handle an upset customer:""This rim is protected by a layer of heat and rust resistant paint. That being said, please note that it is not rust proof, neither is it chip or scratch proof. We can confirm that the materials in the paint are non-toxic and have passed LFGB and FDA safety tests. It is perfectly normal to have chips in the paint during normal use, and as such is not covered under warranty."".First of all, this is not rust. If it is protected by a layer of heat resistant paint as stated in the email content, then it wouldn't melt and the paint coating got stuck on the pot. Obviously either Instant Pot rep is lying or I got a defected one.  I am not complaining about the cosmetic look but I am upset that Instant Pot doesn't live up to its brand and quality. Not only that, their customer service rep is mean and they turn their customers away by lying with a ton of excuses (for example, saying that it is RUST... haha, yea right. Does that look like rust?)Secondly, I work hard for my money so when I buy a product, I do research and I expect it to last for several years. This is unacceptable."
1.0 out of 5 stars,"The airfryer itself is great but after using it, the instant pot stops working. It comes to pressure, counts down, beeps to indicate food is ready - and when I opened the lid, food is still frozen and rice water was still there.I sent their support an email about it 6 days ago with no reply.I then tried calling and after waiting online for 40 minutes I needed to hang up.I still did not receive any support.DO NOT BUY."
1.0 out of 5 stars,I used this 3 times and it quit working.  I loved it when it worked but it is taking the company too long to help me out. VERY Frustrating!!
1.0 out of 5 stars,"I have bought 2 of these over last 2 years. Lid melted both times. First time it was after 1 year, Second time within a year, so contacted Instant pot for warranty, and they directed us to buy lid from their website."
